id,data_type,loan_type,purchased_bal_gp,district,payer_3yr,balance_proxy,raw_repay_prob,calibrated_repay_prob,predicted_payer_flag,expected_value_proxy,gross_high_priority_agent_call,net_high_priority_agent_call,gross_medium_priority_auto_dialer,net_medium_priority_auto_dialer,gross_low_priority_sms_email,net_low_priority_sms_email,recommended_action,expected_gross_recovery,expected_net_recovery,recommended_contact_cost,policy_rank
8703,M,Credit Card,05. <=100k,YUEN LONG,Y,75000,0.7123984,0.22603227100947884,Y,16952.420325710915,5933.34711399882,5848.34711399882,4272.00992207915,4260.00992207915,2076.671489899587,2075.171489899587,High Priority (Agent Call),5933.34711399882,5848.34711399882,85.0,17
10179,M,Credit Card,05. <=100k,SAI YING PUN,Y,75000,0.7085198,0.22341345663071796,Y,16756.009247303846,5864.603236556346,5779.603236556346,4222.514330320569,4210.514330320569,2052.611132794721,2051.111132794721,High Priority (Agent Call),5864.603236556346,5779.603236556346,85.0,18
12420,T,Credit Card,07. 200k+,DISCOVERY BAY,N,250000,0.29734644,0.06663608973581817,N,16659.022433954542,5830.65785188409,5745.65785188409,4198.073653356544,4186.073653356544,2040.7302481594313,2039.2302481594313,High Priority (Agent Call),5830.65785188409,5745.65785188409,85.0,19
13865,M,Credit Card,07. 200k+,CHAI WAN,N,250000,0.29346487,0.06571735061671143,N,16429.337654177856,5750.268178962249,5665.268178962249,4140.1930888528195,4128.1930888528195,2012.5938626367872,2011.0938626367872,High Priority (Agent Call),5750.268178962249,5665.268178962249,85.0,20
8212,T,Credit Card,05. <=100k,TSEUNG KWAN O,N,75000,0.69688076,0.21580152452062237,Y,16185.114339046679,5664.790018666337,5579.790018666337,4078.6488134397628,4066.6488134397628,1982.676506533218,1981.176506533218,High Priority (Agent Call),5664.790018666337,5579.790018666337,85.0,21
6738,M,Credit Card,06. <=200k,WAN CHAI,Y,150000,0.44054028,0.10484792439041717,Y,15727.188658562574,5504.5160304969,5419.5160304969,3963.251541957768,3951.251541957768,1926.580610673915,1925.080610673915,High Priority (Agent Call),5504.5160304969,5419.5160304969,85.0,22
13923,M,Personal Loan,07. 200k+,HAPPY VALLEY,N,250000,0.2764726,0.06175055337180232,N,15437.638342950579,5403.173420032702,5318.173420032702,3890.2848624235453,3878.2848624235453,1891.1106970114456,1889.6106970114456,High Priority (Agent Call),5403.173420032702,5318.173420032702,85.0,23
13634,M,Credit Card,05. <=100k,CENTRAL,Y,75000,0.67940515,0.2050158529512764,Y,15376.18897134573,5381.666139971005,5296.666139971005,3874.7996207791234,3862.7996207791234,1883.5831489898515,1882.0831489898515,High Priority (Agent Call),5381.666139971005,5296.666139971005,85.0,24
13666,M,Credit Card,05. <=100k,YUEN LONG,N,75000,0.6728788,0.2011703308251038,Y,15087.774811882786,5280.721184158975,5195.721184158975,3802.119252594462,3790.119252594462,1848.2524144556412,1846.7524144556412,High Priority (Agent Call),5280.721184158975,5195.721184158975,85.0,25
1953,M,Overdraft,07. 200k+,YUEN LONG,N,250000,0.26854926,0.05993003304628041,N,14982.508261570103,5243.877891549536,5158.877891549536,3775.592081915666,3763.592081915666,1835.3572620423374,1833.8572620423374,High Priority (Agent Call),5243.877891549536,5158.877891549536,85.0,26
13643,M,Credit Card,05. <=100k,JORDAN,Y,75000,0.6702226,0.19963195055085314,Y,14972.396291313986,5240.338701959895,5155.338701959895,3773.043865411124,3761.043865411124,1834.118545685963,1832.618545685963,High Priority (Agent Call),5240.338701959895,5155.338701959895,85.0,27
12327,M,Personal Loan,07. 200k+,SHOUSON HILL,N,250000,0.267108,0.05960077553764942,N,14900.193884412354,5215.067859544323,5130.067859544323,3754.8488588719124,3742.8488588719124,1825.273750840513,1823.773750840513,High Priority (Agent Call),5215.067859544323,5130.067859544323,85.0,28
